id,clf,manual,nota
d77dc9d4,ERRADO,ERRADO,pix expirado nao e criterio
ed2878dc,CORRETO,ERRADO,historico escolar 2grad sem criterio
63d40ecf,ERRADO,ERRADO,falar atendente generico
c8047bcb,ERRADO,ERRADO,eng quim inscricao sem criterio
ab1ff5db,CORRETO,ERRADO,reconhecimento diploma estrangeiro
2a7a3f06,ERRADO,CORRETO,MBA = pos
0a983090,CORRETO,CORRETO,valor mensalidade pedagogia
75a1f7e6,CORRETO,CORRETO,especializacao nutricao idoso
a3ca97d2,CORRETO,CORRETO,valores eng producao
3d7cd9bb,CORRETO,CORRETO,nao acessa ava
d1a79dda,ERRADO,ERRADO,biomedicina sem criterio
bda93825,CORRETO,CORRETO,mestrado educacao
86a9714a,CORRETO,ERRADO,odontologia graduacao sem criterio
0f7fb397,CORRETO,ERRADO,adm ead sem criterio
59742f7d,ERRADO,ERRADO,transferencia sem criterio
e7fb8d15,ERRADO,ERRADO,email novo nao errado
70b02afc,CORRETO,CORRETO,valores letras desconto
a1d94aa0,ERRADO,ERRADO,falar atendente
93f7c00d,CORRETO,CORRETO,reconhecimento mestrado
b6228d45,CORRETO,CORRETO,mensalidade transf psico
a582b9a3,CORRETO,CORRETO,valores eng prod
948dcc74,CORRETO,ERRADO,inscricao eng prod sem criterio
c31595e9,CORRETO,CORRETO,vestibular nao abre acesso
dba1bc3a,CORRETO,ERRADO,inscricao eng software
3a2db3dd,CORRETO,CORRETO,valores letras 2grad
bdadb769,CORRETO,CORRETO,mestrado odontopediatria
96ab4ab7,CORRETO,CORRETO,mensalidade nutricao
afc67d01,CORRETO,ERRADO,cursos ead psicologia info
1589ef0b,ERRADO,ERRADO,transferencia
c90b6431,ERRADO,ERRADO,falar atendente
35b92d34,ERRADO,ERRADO,info agronomia
0a9c1c98,ERRADO,ERRADO,tecnico administracao
5b586812,ERRADO,ERRADO,biomedicina inscricao
8440a64a,ERRADO,ERRADO,med vet aguardando
e3da690f,ERRADO,CORRETO,nao envia documentos sistema
6714e647,ERRADO,ERRADO,ingresso enem
3ff59d38,ERRADO,ERRADO,qr code matricula
9d2af86d,CORRETO,ERRADO,info generico curso
8f36e8c3,ERRADO,ERRADO,atestado matricula
bd40201f,ERRADO,CORRETO,perdi acesso email cadastro
cc23bef4,CORRETO,CORRETO,valores adm desconto
5395ca5d,ERRADO,ERRADO,aproveitamento eng civil
08d625d1,CORRETO,CORRETO,valor nutricao
f0b4ee2d,CORRETO,CORRETO,valores ed fisica
e4790e49,ERRADO,ERRADO,agronomia inscricao
cf34b51c,ERRADO,ERRADO,info logistica
b345738d,ERRADO,ERRADO,pedagogia inscricao
65e1368b,ERRADO,ERRADO,pedagogia inscricao
735d634d,CORRETO,CORRETO,pos imaginologia valor
b1694ea7,CORRETO,ERRADO,psico bolsa sem valor claro
4aa5fabc,CORRETO,CORRETO,vestibular medicina
822c188f,CORRETO,CORRETO,sistemas mensalidade
f0facacb,ERRADO,ERRADO,eng prod inscricao
df219989,ERRADO,ERRADO,aproveitamento disciplinas
d4839c85,CORRETO,CORRETO,valores ciencia dados
7f73b97c,CORRETO,CORRETO,mestrado educacao
7c9095fd,CORRETO,CORRETO,valores agronomia
9a0be66d,ERRADO,ERRADO,si transferencia
5017120e,ERRADO,ERRADO,ed fisica
24d21176,ERRADO,ERRADO,99 reais matricula
0c490298,CORRETO,CORRETO,valor biomedicina
fc21c0fa,ERRADO,ERRADO,psico atendente
00975017,ERRADO,ERRADO,letras retornar
eca655e4,ERRADO,ERRADO,atendente generico
b5bbf6cd,ERRADO,ERRADO,pedagogia atendente
3ec3fc4e,CORRETO,CORRETO,mestrado educacao
330690ec,ERRADO,ERRADO,bio inscricao
1117e751,ERRADO,ERRADO,fisio inscricao
ec19617d,ERRADO,ERRADO,ed fisica polo
404754b9,ERRADO,CORRETO,token nao chega acesso
64f97b6c,CORRETO,CORRETO,esp enologia
026fef4f,CORRETO,CORRETO,valores agronomia
55d9e6a1,ERRADO,ERRADO,reabrir matricula
a3a19ca8,CORRETO,CORRETO,pos psicopatologia
eed65348,CORRETO,CORRETO,mestrado docencia
ce0d836d,ERRADO,ERRADO,nutricao
e40de7a7,CORRETO,CORRETO,valor eng mecanica
f4d948eb,CORRETO,CORRETO,pos direito notarial valor
a85b3955,ERRADO,ERRADO,jornalista
b9959821,CORRETO,CORRETO,onde vejo valores
59c5c685,ERRADO,ERRADO,fonoaudio info
a1b26b11,ERRADO,ERRADO,agronomia transf
59c38564,CORRETO,CORRETO,mensalidade vet
5db417db,CORRETO,CORRETO,valor traducao
1d75552d,ERRADO,ERRADO,ex aluno matricula
8f879980,ERRADO,ERRADO,rh atendente
2fe6bcde,CORRETO,CORRETO,audio mkt digital valor
