id,clf,manual,nota
87b201f7,ERRADO,ERRADO,ex aluna servicoSocial outraInstit
eeda1228,CORRETO,CORRETO,aluno beneficios AVA
f3a96fbc,CORRETO,CORRETO,historico diploma
73b8d623,ERRADO,ERRADO,quer ser aluno agronomia
7bf17859,ERRADO,ERRADO,diploma tecnico
72acad25,ERRADO,ERRADO,pretendo ser ed fisica
d055d503,CORRETO,ERRADO,nao aluno quer valor pos
e1a71b9c,ERRADO,ERRADO,esperando boleto
7c6d017f,ERRADO,CORRETO,comprou mba cancelar
7f13d99b,ERRADO,ERRADO,so oi
f57fc8de,CORRETO,ERRADO,aluno unifran transferir
48b0a2bd,CORRETO,CORRETO,aluno matricula ava RA
5f96cc4e,CORRETO,CORRETO,estudante psico uniube
8cac4a1d,ERRADO,ERRADO,vaga menor aprendiz
d5305c5e,ERRADO,CORRETO,destrancar curso
8ba80c6e,ERRADO,ERRADO,pretendo ser
c8fe0556,ERRADO,ERRADO,pretendo ser gestao
f21d0981,CORRETO,ERRADO,candidato transf externa
88605cf5,CORRETO,CORRETO,ex aluno especial
9325ffee,ERRADO,ERRADO,so ola
8d76adf7,CORRETO,CORRETO,sou aluno
e304d219,CORRETO,CORRETO,mba nao conecta ava
f45f1486,ERRADO,CORRETO,email institucional
26f2f720,CORRETO,CORRETO,ja sou aluna
fb5f725e,CORRETO,CORRETO,aluna pedagogia
7eae375c,CORRETO,ERRADO,2a graduacao nao aluno
eab1e899,CORRETO,CORRETO,ex aluno historico
e42bf1e6,CORRETO,ERRADO,candidato bolsa
e77f33a6,CORRETO,ERRADO,candidato transf
369da037,ERRADO,ERRADO,quero ser enf
a20f2236,ERRADO,ERRADO,pretendo design
071bae19,ERRADO,ERRADO,3a graduacao
515c5e48,CORRETO,CORRETO,trancar curso
004c581b,ERRADO,ERRADO,pretendo logistica
1b32ac26,CORRETO,CORRETO,ex aluno diploma
f860cc95,CORRETO,CORRETO,sou aluna
95f1a84a,CORRETO,ERRADO,nao aluno fono
e288ff5c,ERRADO,CORRETO,trancamento aluna
2ae73a71,ERRADO,ERRADO,preciso ajuda
91da3c3b,ERRADO,CORRETO,inscrito pos nao loga
7212faa1,ERRADO,ERRADO,so oi
29d68a4e,ERRADO,ERRADO,pretendo zoot
54df17c8,CORRETO,CORRETO,aluna aprovacao
c0dfa6b4,CORRETO,CORRETO,aluno atend
2531f73a,ERRADO,CORRETO,aluno
3745b9a0,ERRADO,ERRADO,candidata pos
ada4008f,CORRETO,CORRETO,sou aluna
3c721ba7,ERRADO,ERRADO,vestibular
059f3845,CORRETO,CORRETO,aluno divida
dad8a892,ERRADO,ERRADO,trabalhe conosco
47e5342c,ERRADO,CORRETO,pos acesso
44ecf672,ERRADO,ERRADO,pretendo fisio
2bc5a8b7,CORRETO,CORRETO,aluna bolsa matricula
9aa3fe1f,CORRETO,CORRETO,aluno estagio
ff70d19a,ERRADO,ERRADO,transf vet
d06c6a48,ERRADO,CORRETO,fiz matricula
9da31a13,CORRETO,ERRADO,nao aluno zoot
d6a66f2f,CORRETO,ERRADO,candidato transf eng
eda35b33,ERRADO,ERRADO,pretendo fono
23e62191,ERRADO,ERRADO,matriz vet
228fbf01,CORRETO,ERRADO,nao aluno design
19a6ad87,CORRETO,ERRADO,nao aluno mba
bf723955,ERRADO,ERRADO,valor agro
e77d1faa,ERRADO,ERRADO,maria modesto
9b9dfead,CORRETO,CORRETO,aluna boleto
