id,clf,manual,nota
e379976f,CORRETO,CORRETO,uberl explicito
ff70d19a,CORRETO,CORRETO,uberl vila gavea
a5f19fe3,CORRETO,CORRETO,uberl mg
9fcea975,ERRADO,ERRADO,so pos
038b217a,ERRADO,ERRADO,eng civil
5e8780a8,ERRADO,ERRADO,polo oliveira
75d0f6f4,ERRADO,ERRADO,so pretendo
bd376333,CORRETO,CORRETO,uberl ped ead
fba6d254,ERRADO,ERRADO,mestrado ed
460bb96f,ERRADO,ERRADO,esp endodontia
9041ce87,CORRETO,CORRETO,psico uberl vg
b068ca91,CORRETO,CORRETO,polo uberl
9c59180f,CORRETO,CORRETO,semi uberl
aae95930,CORRETO,CORRETO,uberl matutino
374bcafd,CORRETO,CORRETO,uberl centro
c451efb0,ERRADO,ERRADO,curso gratuito
c7ff287b,CORRETO,CORRETO,uberl explicito
0660ffd3,ERRADO,ERRADO,uberaba
7a573b18,CORRETO,CORRETO,vila gavea
75ec701a,CORRETO,CORRETO,uberl mg
3604e94c,ERRADO,ERRADO,saudacao
faafaded,ERRADO,ERRADO,militarizada 12a
2241e842,ERRADO,ERRADO,uberaba
8e785763,CORRETO,CORRETO,unidade uberl
c8cb5d69,ERRADO,ERRADO,tel pos
655b135d,ERRADO,ERRADO,servico social
71a634bb,ERRADO,ERRADO,fisio
4b988d4b,ERRADO,ERRADO,mba educ
47f1ef3e,ERRADO,ERRADO,pedagogia
f9c80c52,CORRETO,CORRETO,uberl santa monica
3909fbe1,ERRADO,ERRADO,polo manaus
f5643806,CORRETO,CORRETO,uberl mg
27c0c871,ERRADO,ERRADO,inst cirurgica
bc7e98be,ERRADO,ERRADO,farmacia
80640d06,ERRADO,ERRADO,araxa
2b6ae0ec,ERRADO,ERRADO,pos enf
aba806eb,ERRADO,ERRADO,araxa
c1d6fdf7,CORRETO,CORRETO,odonto uberl
18e6f358,ERRADO,ERRADO,sao simao go
bf8d3c0d,CORRETO,CORRETO,uberl mg
29104c81,ERRADO,ERRADO,ped
8b66fc82,ERRADO,ERRADO,eng elet
e51e797e,ERRADO,ERRADO,cc ead
09c09aa8,CORRETO,CORRETO,uberl vg
08b1b5f2,ERRADO,ERRADO,pretendo
d32cbb3d,ERRADO,ERRADO,saudacao
a34410c9,ERRADO,ERRADO,lafaiete
5002ac16,CORRETO,CORRETO,uberl
a072eab9,CORRETO,CORRETO,uberl
5f06b717,ERRADO,ERRADO,nut transf
9cfd226d,CORRETO,CORRETO,uberl fono
044c6956,ERRADO,ERRADO,barbacena
50a76e2d,ERRADO,ERRADO,ads
7a985674,ERRADO,ERRADO,mestrado erro
69aef649,CORRETO,CORRETO,uberl ef
0e73fc7b,ERRADO,ERRADO,nova granada sp
2ce86e15,CORRETO,CORRETO,uberl
4fc2f7c5,ERRADO,ERRADO,zoot
4befa6f9,CORRETO,CORRETO,uberl
00975017,ERRADO,ERRADO,ex letras
3e777282,ERRADO,ERRADO,sobradinho df
85b77686,ERRADO,ERRADO,esp
0350c2f5,ERRADO,ERRADO,saudacao
bc2656a1,ERRADO,ERRADO,pos psico
6925b19c,ERRADO,ERRADO,bolsa 100
907d684f,ERRADO,ERRADO,atendente
03973d8a,ERRADO,ERRADO,semipresencial
fc93a152,ERRADO,ERRADO,pretendo
9333f506,ERRADO,ERRADO,gastronomia
f452ad89,CORRETO,CORRETO,uberl enf
84022ecf,ERRADO,ERRADO,pedranopolis sp
263369cc,CORRETO,CORRETO,valor uberl
9282b1e3,CORRETO,CORRETO,uberl mg
f9b83727,ERRADO,ERRADO,araxa
251bb3bc,ERRADO,ERRADO,fertilidade
d0ab5269,CORRETO,CORRETO,vila gavea
e5a783c0,ERRADO,ERRADO,itajuba
b4ed977f,CORRETO,CORRETO,noturno uberl
28ebd28f,ERRADO,ERRADO,ja resolvi
8088a43e,ERRADO,ERRADO,token
b807aa7b,ERRADO,ERRADO,mba
5f82a181,ERRADO,ERRADO,mba gestao
d44adf7b,ERRADO,ERRADO,oi
29184f9c,CORRETO,CORRETO,uberl mg
32f0b5d0,ERRADO,ERRADO,uberaba
d03f30f8,ERRADO,ERRADO,ped ead
f7c714eb,ERRADO,ERRADO,esmeraldas
6c622f8c,CORRETO,CORRETO,uberl
d2e1868f,ERRADO,ERRADO,zoot
1b959088,ERRADO,ERRADO,polo
f3913b3f,ERRADO,ERRADO,ola
d1e96fbb,CORRETO,CORRETO,uberl noturno
6014495b,CORRETO,CORRETO,uberl shopping
07d980eb,ERRADO,ERRADO,boa noite
b27e2f1b,ERRADO,ERRADO,bolsa
2ae97458,CORRETO,CORRETO,uberl
4f00ffd6,CORRETO,CORRETO,moro uberl
debffc9c,ERRADO,ERRADO,logistica
2caaba9c,ERRADO,ERRADO,patos de minas
96464c5c,CORRETO,CORRETO,mestrado uberl
1216a6b7,ERRADO,ERRADO,uberaba
9ab6b748,ERRADO,ERRADO,agron
bc5c694a,CORRETO,CORRETO,campus uberl
20f66c44,ERRADO,ERRADO,uberaba
f57fc8de,ERRADO,ERRADO,fisio unifran
657675c8,ERRADO,ERRADO,uberaba
01e594a5,ERRADO,ERRADO,finalizar
0cc74bbb,ERRADO,ERRADO,uberaba
69f5cf13,CORRETO,CORRETO,uberl mg
31c52484,CORRETO,CORRETO,uberl presencial
84d7af13,ERRADO,ERRADO,agron
ef61fd8b,ERRADO,ERRADO,sao joao del rei
f06e35fb,ERRADO,ERRADO,nut
4decaf59,CORRETO,CORRETO,uberl
7605c53f,CORRETO,CORRETO,uberl gavea
b4d3793b,ERRADO,ERRADO,contabeis
106227e7,ERRADO,ERRADO,agron
e9d811bb,ERRADO,ERRADO,cv
b418d9af,ERRADO,ERRADO,ped bolsa
4bc5c26b,ERRADO,ERRADO,explicar
fcee2c04,ERRADO,ERRADO,bolsa 100
d4524eb5,ERRADO,ERRADO,transf
c9f21194,ERRADO,ERRADO,psicogero
3de7e2a3,ERRADO,ERRADO,agron
661cc8d0,CORRETO,CORRETO,uberl mg
999e7014,ERRADO,ERRADO,manaus am
689891e3,CORRETO,CORRETO,uberl
d8f80f99,ERRADO,ERRADO,eng mec
365c53f7,ERRADO,ERRADO,uberaba
e599a3d2,ERRADO,ERRADO,gratuita
11a16833,ERRADO,ERRADO,unopar artes
624d97e7,ERRADO,ERRADO,cuiaba
a13b9d47,ERRADO,ERRADO,vazio
0a19cc24,ERRADO,ERRADO,vazio
fe52b6c9,CORRETO,CORRETO,uberl mg
dbcbfe70,CORRETO,CORRETO,uberl vg
b21cff4e,ERRADO,ERRADO,marketing
9a0be66d,CORRETO,CORRETO,santa monica uberl
329c47a9,ERRADO,ERRADO,estetica ead
3c02a0eb,CORRETO,CORRETO,uberl semi
40a8eef8,CORRETO,CORRETO,uberl mg
ae68f24d,ERRADO,ERRADO,eng mec transf
2aa6fcbe,CORRETO,CORRETO,estou uberl
1d15e06d,ERRADO,ERRADO,disc isolada
c4f887d2,CORRETO,CORRETO,uberl centro
aee316f8,ERRADO,ERRADO,cascavel pr
d564a77c,ERRADO,ERRADO,pos sementes
76fcdfd9,CORRETO,CORRETO,uberl
078a3da7,ERRADO,ERRADO,mudar curso
e24378b6,ERRADO,ERRADO,pretendo
cbc435b5,CORRETO,CORRETO,uberl
4fdeec31,CORRETO,CORRETO,uberl mg
31203fb6,ERRADO,ERRADO,pedagogia
58cf10d7,ERRADO,ERRADO,fisio
28a01776,ERRADO,ERRADO,pretendo
edd61f22,CORRETO,CORRETO,campus uberl
899d5ec7,ERRADO,ERRADO,ola
24a7e29a,ERRADO,ERRADO,tres coracoes
1f879ccd,CORRETO,CORRETO,uberl mg
8f723202,ERRADO,ERRADO,valadares
5dad65fe,ERRADO,ERRADO,tec adm
71292641,CORRETO,CORRETO,uberl
07e0b96f,ERRADO,ERRADO,nova granada
ef2f54b2,ERRADO,ERRADO,medicina bolsa
ebdf70ab,ERRADO,ERRADO,ola
d9e6ebe4,CORRETO,CORRETO,uberl
ee6d407f,ERRADO,ERRADO,historia
a548aab8,ERRADO,ERRADO,bom dia
eed2ea81,CORRETO,ERRADO,uberaba
1b916580,ERRADO,ERRADO,uberaba
01b1ff42,CORRETO,CORRETO,uberl
a7012783,CORRETO,CORRETO,uberl
2a445806,CORRETO,CORRETO,uberl
c78a537d,CORRETO,CORRETO,uberl
3bb1cc15,ERRADO,ERRADO,bom dia
b283ab5d,ERRADO,ERRADO,vila velha es
52852072,ERRADO,ERRADO,uberaba aeroporto
e65f67a4,ERRADO,ERRADO,sou aluno
25be3d57,ERRADO,ERRADO,odontologia
8227bfea,CORRETO,CORRETO,uberl
03713c06,ERRADO,ERRADO,campo verde
878f524f,CORRETO,CORRETO,uberl gavea
16d69b5d,CORRETO,CORRETO,uberl ead
0a0160e0,ERRADO,ERRADO,inhumas
d332b844,ERRADO,ERRADO,uberaba
db6fc605,ERRADO,ERRADO,georref
282d6621,ERRADO,ERRADO,encantado rs
3ebada81,CORRETO,CORRETO,sou uberl
1be563b1,CORRETO,CORRETO,uberl mg
d5b94cd9,CORRETO,CORRETO,uberl
3b655b33,CORRETO,CORRETO,uberl
f71bb553,ERRADO,ERRADO,pos rh
7aed7909,ERRADO,ERRADO,ed fis
e1f6575e,ERRADO,ERRADO,bio
8304f8b1,ERRADO,ERRADO,araxa
a1d94aa0,ERRADO,ERRADO,atendente
a629f36c,ERRADO,ERRADO,ped
8eb2ebaa,ERRADO,ERRADO,uberaba
672e9702,ERRADO,ERRADO,sao paulo
